Název	Cena 	Četnost plateb	Kategorie	Popis	Vedoucí
Airsoftový klub 	300	pololetní	Sportovně - pohybové	Zaměření na airsoftovou činnost, airsoftová klání, taktika, strategie, semináře. Činnost dle počasí, vždy v sobotu (minimálně 4 hodiny), různá airsoftová hřiště a prostory. 	 Marek Pevný
Arteterapeutické večery 	300	pololetí	Pro dospělé	Výtvarné tvoření zaměřené na sebepoznání a relaxaci. Arteterapie nevyžaduje žádný výtvarný um ani zkušenosti, stačí chuť výtvarně tvořit. Pro muže a ženy od 18 let 1 x za měsíc ve čtvrtek od 18 do 20 hodin v DDM. 	 Andrea Bakalová
Bowlingový	360	pololetní	Sportovně - pohybové	Základy hry, pravidla, technika, turnaje. Pro děti od 7 do 15 let. Bude probíhat v prostorách bowlingové části restaurace Havírna v Letovicích 1x za 14 dní ve středu od 15 do 16,30 hodin. 	 Zuzana Musilová
Co vyprávěl starý dub	350	pololetí	Ostatní	Syntetický kroužek pro děti 5-7 let  – hry,výtvarka, hudebka, pohybové aktivity v jednom! V úterý od 16 do 17 hodin. 	 Zuzana Luňáčková
Cvičení pro seniory 	300	pololetí	Pro dospělé	Cvičení pro seniory ve středu od 17,30 do 18,30 hodin v sále DDM. Cviky balančního, silového  i strečinkového charakteru. 	 Ivona Kubíková
Cvičení pro těhotné 	300	pololetí	Pro dospělé	Cvičení pro těhotné ve středu od 18,30 do 19,30 hodin v sále DDM. Cvičení na gymnastickém míči, cviky silového i strečinkového charakteru, relaxace s děťátkem. 	 Ivona Kubíková (dula a laktační poradkyně)
Cvičeníčko	350	pololetí	Sportovně - pohybové	Pro děti od 2 do 5 let s rodiči. Zažijte společnou radost z pohybu při využití vhodných pomůcek. Prostřednictvím říkanek a písniček u dětí podpoříme rozvoj řeči a vnímání rytmu. Cvičení vždy ve středu od 16 do 17 hodin v tělocvičně ZŠ Komenského. Vedoucí: Lucie Procházková	 Lucie Procházková
Divadelní kroužek 	450	pololetí	Hudební a dramatické	V tomto kroužku si můžete zkusit být úplně někým jiným. Budeme se proměňovat v nejrůznější postavy, zvířata, pohádkové bytosti. Vyzkoušíme si různé formy divadel - klasickou antickou tragédii s maskami, japonské stínové divadlo, loutkové divadlo s maňásky i marionetami, živé obrazy a pohybové divadlo, pokusíme se dramaticky ztvárnit vaše oblíbené příběhy, knihy, básně, ... Budeme si vyrábět loutky, masky a kulisy. Pro děti od 8 do 12 let. V úterý od 13,30 do 15 hodin. 	 Andrea Bakalová
Divadýlko	450	pololetí	Hudební a dramatické	Pro děti od 7 do 12 let. Ve čtvrtek od 15 do 16,30 hodin.	 Ludmila Bártíková
Eko Farmářský	350	pololetí	Ostatní	Činnosti na farmě, pěstování rostlin, chov zvířat, péče o koně a psy. Pro děti od 10 let.V DDM v pondělí od 16 do 17,30 hodin. 	 Jakub Dorňák
